arabic_name,english_name
العنصبة,Al-'Ansaba
الطليله,Al-Talilah
المجن,Al-majan
شعب القرع,Sha'b Al-Qara'
الحدجى,al-Hadji
القماريه,Al-Qamariya
الجافر,Al-Jafir
الصريح,As-Sarih
حصب الماس,Hasab Al-Mas
الدمسي,Al-Damsi
شعبه الغيل,Sha'bat Al-Ghayl
العمودي,Al-'Amudi
المداور,Al-Madawer
الجدير,Al-Jadir
الجعاديه,Al-Ja'adiyah
دار بني الامير,Dar Bani al-Amir
مراعنة الوادي,Mara'inah Al-Wadi
المقيبره,Al-Muqaybira
اللسانيه,Allisanih
الجبانة,Al-Jabana
شعب الاشول,Sha'b al-Ashwal
العـاوه,al-'Awah
هيجة ياسين,Hijat Yasin
الخضيرة,Al-Khadira
المحيفر,Al-Muhayfir
الحمام,Al-Hamam
المجزره,Al-Majzarah
الشبارة,Al-Shabarah
نوبة المخشب,Nawbat Al-Mukhshab
الصـويره - الحافة,Al-Sawerah-Al-Hafah
القاشميه,Al-Qashmiya
طرة البرقعه,Tarrah Al-Burqa'ah
الكهرباء,Al-Kahraba
وادي سعاده,Wadi Sa'adah
الملعب الاعلى,Al-Mal'ab Al-A'la
الردف,Al-Radf
الفريخه,Al-Farikha
القدارى,Al-Qadari
القوادر,Al-Qawadir
الفاترة,Al-Fatira
المليحه,Al-Malihah
الصـويره - الدارات,Al-Sawerah-Al-Darat
الاكمـه,Al-Akma
شعب الفقيــه,Sha'ab al-Faqih
الحنيني,al-Hunayni
الاكمه,Al-Akmah
الاقروض - النجـد,Al-Aqrouth -Al-Najd
الضويحه,Al-Dhuwayha
جبل عكى,Jabal Aka
العنذقي,Al-Andhaqi
الصـويره - البقور,Al-Sawerah-Al-Baqwr
الكبه,Al-Kabba
جبل العمري,Jabal Al-Amri
عكشة,'Akashah
الصـويره - شبارقه,Al-Sawerah-Shabarqah
الباطن,Al-Batin
نجد عقاب,Najd Aqab
المشيعير,Al-Mushay'ir
كحاح,Kahah
الزحط,Al-Zaht
البكره,Al-Bakrah
عشاري,Ashari
الظاهرة,Al-Dhahira
جبل الشعبي,Jabal Al-Sha'bi
المبراع,Al-Mabra'
القصعه,Al-Qas'a
رهبه,Rahbah
الشاذلية,Al-Shadhiliyah
شعب دعام,Sha'b Da'am
الحضاره,Al-Hadara
ذي البرع - هوب مبرد,Thee Al-Bara-Hob Mabrad
الرباط,Al-Ribat
القداعمه,Al-Qada'imah
الطور,the Tur
الغيل,Al-Ghayl
الملصوب,Al-Malasub
الدماهيه,Al-Damahiyyah
ذاخشه,Dhakhshah
القرعاء,Al-Qara'a
الحماريه,Al-Hamariya
نمر,Nimr
قحيفة المشعار,Qahifat al-Mish'ar
الزهيرة, Al-Zuhaira
المحيلبة,Al-Mahilba
المحل,al-Mahal
وادي بكير,Wadi Bakir
الصوب,Al-Sawb
الضريب,Al-Dharib
العوينه,Al-Awaina
جبل الدامر,Jabal Al-Damir
المقرعي,Al-Muqra'i
الجبيل,Al-Jubayl
الحنيشية,Al-Hanashiyah
الجدون,Al-Jadun
عسق,Asaq
الساحلي,Al-Sahili
البرادقة,Al-Baradiqa
الشوكة,al-Shawkah
الطاهري,Al-Tahir
حول السوق,Hawl Al-Souq
بني الحكم,Bani Al-Hakam
الكنايه,Al-Kinaya
القريه,Al-Qaryah
بني جعفر,Bani Jaafar
شعب سويد,Sha'ab Suwaid
المراتمه,Al-Maratimah
السكرنة,Al-Sukranah
السيمال,Al-Simal
الحليبة,Al-Halibah
سحـر,Sahar
شعب شقير,Sha'ab Shuqayr
استرح,Istarh
المنيقد,Al-Munayqid
الركيبه,Al-Rukaybah
البيحاني,Al-Bayhani
الفحيشيه,Al-Fahishiya
ضورين,Dhurin
الضبيره,Al-Dhabira
القاهرة,Al-Qahirah
زبوره,Zabura
الحمرة,Al-Hamra
النوازل,Al-Nawazil
محوطو,Mahut
الضويحه,Al-Dhuwayhah
الهدد,Al-Haddad
ذي البرع - الكسـر,Thee Al-Bara-Al-Kasr
الاشوع,Al-Ashwa'
الادروس,Al-Adrous
العجمى,Al-Ajami
القرية السفلى,Al-Qarya Al-Sufla
حصب الكامل,Hasab Al-Kamil
الحقافر,Al-Haqafir
الرمة,Al-Rummah
المدينه السكنية,Residential City
البياضيه,Al-Bayadiyah
شعبة الحادي,Sha'bat Al-Hadi
دارعلوان,Dar 'Alwan
الحنكه,Al-Hanakah
المقاهي,Al-Maqahi
السفالية,Al-Safaliyah
وادي الكبير,Wadi Al-Kabir
الجويح,al-Juwayh
المسوادة,Al-Maswadah
الحويص,Al-Huways
السويهره,Al-Suwayhirah
السفيدة,Al-Safida
القحيزه,al-Qahizah
الهبيبه,Al-Habibah
الهيوح,Al-Haywah
القلعه,Al-Qal'ah
شعب البير,Sha'b Al-Bir
عقار,'Aqar
النجله,Al-Najlah
كوكبان,Kawkaban
العميريه,Al-Amiriyah
السبعه,Al-Sab’a
المشاعب,Al-Masha'ib
الدلع,Al-Dala'
الشرف,Al-Sharaf
المتون,Al-Mutun
القاعده,Al-Qa'idah
الشهريه,Al-Shahriyah
محجر راعى,Mahjar Ra'i
حصب عباد,Hasab 'Abbad
الهليبه,Al-Hulaybah
جبل البعيصي,Jabal Al-Ba'isi
المنيهر,Al-Munayhir
دبيلة الربوه,Dabilat Al-Rabwa
خدية,Khadiyah
طوربصير,Turbasir
المزاينة,Al-Mazayna
المسماره,Al-Masmarah
وادي الموجع,Wadi Al-Muja'
القحاره,Al-Qahara
كيزه,Kiza
الصـويره - محروضــه,Al-Sawerah-Mahroudah
عقلان,Aqlan
الظهرالاعلى,Al-Dhahr Al-A'la
المودقه,Al-Mawdaqah
القواسمه,Al-Qawasima
البارز,Al-barez
العبدل,Al-Abdal
ذي البرع - المسيرب,Thee Al-Bara-Al-Musayrib
المخيشيقة,Al-Makhishiqah
هيجة  الضص,Hayjah Al-Dhas
نجدالبير,Najd Al-Bir
البرح الاحمر,Al-Barh Al-Ahmar
الخريشيبه,Al-Kharishiba
